Data_Referencia,Codi_Districte,Nom_Districte,Codi_Barri,Nom_Barri,AEB,Seccio_Censal,Valor
2025-01-01,1,Ciutat Vella,1,el Raval,1,1001,1419
2025-01-01,1,Ciutat Vella,1,el Raval,1,1002,1345
2025-01-01,1,Ciutat Vella,1,el Raval,2,1003,3710
2025-01-01,1,Ciutat Vella,1,el Raval,2,1004,3092
2025-01-01,1,Ciutat Vella,1,el Raval,3,1005,2443
2025-01-01,1,Ciutat Vella,1,el Raval,3,1006,1802
2025-01-01,1,Ciutat Vella,1,el Raval,3,1007,2081
2025-01-01,1,Ciutat Vella,1,el Raval,4,1008,3362
2025-01-01,1,Ciutat Vella,1,el Raval,4,1009,2367
2025-01-01,1,Ciutat Vella,1,el Raval,4,1010,2670
2025-01-01,1,Ciutat Vella,1,el Raval,5,1011,3389
2025-01-01,1,Ciutat Vella,1,el Raval,5,1012,2065
2025-01-01,1,Ciutat Vella,1,el Raval,5,1013,1501
2025-01-01,1,Ciutat Vella,1,el Raval,6,1014,1897
2025-01-01,1,Ciutat Vella,1,el Raval,6,1015,2501
2025-01-01,1,Ciutat Vella,1,el Raval,6,1016,2183
2025-01-01,1,Ciutat Vella,1,el Raval,6,1017,2748
2025-01-01,1,Ciutat Vella,1,el Raval,7,1018,1679
2025-01-01,1,Ciutat Vella,1,el Raval,7,1019,3028
2025-01-01,1,Ciutat Vella,1,el Raval,7,1020,2362
2025-01-01,1,Ciutat Vella,1,el Raval,8,1021,2273
2025-01-01,1,Ciutat Vella,2,el Barri Gòtic,9,1022,1712
2025-01-01,1,Ciutat Vella,2,el Barri Gòtic,9,1023,2133
2025-01-01,1,Ciutat Vella,2,el Barri Gòtic,10,1025,1463
2025-01-01,1,Ciutat Vella,2,el Barri Gòtic,10,1026,12817
2025-01-01,1,Ciutat Vella,2,el Barri Gòtic,10,1027,1603
2025-01-01,1,Ciutat Vella,2,el Barri Gòtic,11,1028,2095
2025-01-01,1,Ciutat Vella,2,el Barri Gòtic,11,1029,1552
2025-01-01,1,Ciutat Vella,2,el Barri Gòtic,12,1030,2611
2025-01-01,1,Ciutat Vella,2,el Barri Gòtic,12,1031,1892
2025-01-01,1,Ciutat Vella,3,la Barceloneta,13,1032,1740
2025-01-01,1,Ciutat Vella,3,la Barceloneta,13,1033,1130
2025-01-01,1,Ciutat Vella,3,la Barceloneta,13,1034,1011
2025-01-01,1,Ciutat Vella,3,la Barceloneta,14,1035,1170
2025-01-01,1,Ciutat Vella,3,la Barceloneta,14,1036,1201
2025-01-01,1,Ciutat Vella,3,la Barceloneta,15,1037,1290
2025-01-01,1,Ciutat Vella,3,la Barceloneta,15,1038,1472
2025-01-01,1,Ciutat Vella,3,la Barceloneta,15,1039,1327
2025-01-01,1,Ciutat Vella,3,la Barceloneta,15,1040,1101
2025-01-01,1,Ciutat Vella,3,la Barceloneta,15,1041,1510
2025-01-01,1,Ciutat Vella,3,la Barceloneta,15,1042,1797
2025-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",16,1043,1683
2025-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",16,1044,1461
2025-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",16,1045,2021
2025-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",16,1046,1875
2025-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",17,1047,1767
2025-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",17,1048,2150
2025-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",17,1049,1519
2025-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",18,1050,1612
2025-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",18,1051,1825
2025-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",18,1052,2407
2025-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",19,1053,1887
2025-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",19,1054,1235
2025-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",19,1055,1325
2025-01-01,2,Eixample,5,el Fort Pienc,20,2001,1367
2025-01-01,2,Eixample,5,el Fort Pienc,20,2002,5696
2025-01-01,2,Eixample,5,el Fort Pienc,20,2003,1175
2025-01-01,2,Eixample,5,el Fort Pienc,20,2004,1493
2025-01-01,2,Eixample,5,el Fort Pienc,20,2005,2410
2025-01-01,2,Eixample,5,el Fort Pienc,20,2006,1681
2025-01-01,2,Eixample,5,el Fort Pienc,20,2007,1381
2025-01-01,2,Eixample,5,el Fort Pienc,20,2008,1925
2025-01-01,2,Eixample,5,el Fort Pienc,20,2009,1778
2025-01-01,2,Eixample,5,el Fort Pienc,21,2010,1225
2025-01-01,2,Eixample,5,el Fort Pienc,21,2011,1135
